Vandens telkinio pavadinimas,Kodas,Savivaldybė,Žuvų būklės indeksas,Biomasė(kg),Gausumas(vnt),Plėšrių žuvų gausumas(%),Plėšrių žuvų biomasė(%),Ešerys (Gausumas),Karšis (Gausumas),Plėšrios(kg)
Aisetas,12140251,Utenos r. sav.,0.49,1.74,38,1.61,16.45,0,0,0.286
Almajas,12130086,Ignalinos r. sav.,0.47,1.227,27,2.17,15.66,0,0,0.192
Alnis,12130082,Molėtų r. sav.,0.57,3.798,42,2.83,26.02,0,0,0.988
Antakmenių ežeras,10030651,Trakų r. sav.,1.0,5.435,118,1.0,1.0,0,0,0.054
Antanavo HE tvenkinys,15050005,Marijampolės sav.,0.63,8.99,107,1.65,17.6,0,0,1.582
Apvardai,50030211,Ignalinos r. sav.,0.42,4.45,104,0.92,11.32,0,0,0.504
Arinas,12140420,Molėtų r. sav.,0.77,4.06,36,3.28,14.67,0,0,0.596
Asalnai,12130004,Ignalinos r. sav.,0.63,3.409,38,4.69,24.23,17,0,0.826
Asavas,12230015,Zarasų r. sav.,0.69,3.816,51,3.02,11.73,0,6.3,0.448
Atesys,10040584,Alytaus r. sav.,0.55,2.826,31,3.14,14.67,0,0,0.415
Aukštadvario HE tvenkinys,10050212,Trakų r. sav.,0.7,5.319,66,3.07,22.67,0,0,1.206
Aviris,10030319,Druskininkų sav.,1.0,3.953,69,1.0,1.0,0,0,0.04
Baltosios Ančios tvenkinys,10050030,Lazdijų r. sav.,0.3,4.067,118,0.29,3.62,0,0,0.147
Baluošai,12130412,Švenčionių r. sav.,0.76,9.655,92,5.92,21.38,0,1,2.064
Beičių I tvenkinys,12250026,Rokiškio r. sav.,0.28,2.108,54,0.61,3.5,4.8,0,0.074
Biržulis,30040060,Telšių r. sav.,0.55,2.116,42,1.96,0.0,0,1.9,0.0
Dvariukų tvenkinys,41050001,Pakruojo r. sav.,0.7,4.983,61,2.85,28.8,0,0,1.435
Eišiškių HE tvenkinys,11050071,Šalčininkų r. sav.,0.31,4.33,123,0.59,10.03,0,22.3,0.434
Galadusys,10030111,Lazdijų r. sav.,0.37,4.083,81,0.89,7.95,8.3,0,0.325
Galuonai,12130331,Molėtų r. sav.,0.8,3.843,39,5.28,38.79,0,0,1.491
Gavys,12130180,Ignalinos r. sav.,0.51,3.47,62,2.55,10.9,0,0,0.378
Ginkūnų tvenkinys,41050046,Šiaulių r. sav.,0.74,10.671,46,2.9,0.0,2.3,0,0.0
Ilgai,10031016,Trakų r. sav.,0.44,1.454,38,2.55,28.09,0,0,0.408
Išnarai,12130332,Molėtų r. sav.,0.48,3.607,80,1.28,10.66,0,0,0.385
Juodieji Lakajai,12130250,Molėtų r. sav.,1.0,3.79,40,1.0,1.0,0,0,0.038
Kadrėnų tvenkinys,12250281,Ukmergės r. sav.,0.44,7.787,161,0.98,9.61,0,0,0.748
Kertuojai,12140320,Molėtų r. sav.,0.42,2.521,72,1.02,23.57,0,0,0.594
